Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Rui Hachimura,33:56,7,14,.500,4,8,.500,2,2,1.000,2,4,6,2,0,0,0,3,20,15.8,+15,hachiru01
LeBron James,31:01,8,13,.615,2,4,.500,8,11,.727,0,8,8,9,3,0,3,4,26,26.0,+19,jamesle01
Austin Reaves,29:49,7,13,.538,3,7,.429,3,3,1.000,2,4,6,9,0,1,3,0,20,20.3,+9,reaveau01
Dorian Finney-Smith,23:58,3,7,.429,1,3,.333,0,0,,0,4,4,2,0,0,1,3,7,3.7,+13,finnedo01
Jaxson Hayes,23:48,3,6,.500,0,0,,0,1,.000,2,4,6,4,1,2,1,2,6,8.6,+14,hayesja02
Gabe Vincent,22:02,4,10,.400,4,8,.500,0,0,,0,3,3,2,0,0,0,0,12,8.9,+10,vincega01
Dalton Knecht,20:46,6,9,.667,2,4,.500,0,0,,0,4,4,1,0,0,0,0,14,12.0,+15,knechda01
Shake Milton,19:56,2,3,.667,0,1,.000,0,0,,1,1,2,3,0,0,4,2,4,1.0,+12,miltosh01
Jarred Vanderbilt,18:09,2,3,.667,1,1,1.000,1,2,.500,1,5,6,0,1,0,0,0,6,7.5,+21,vandeja01
Bronny James,5:59,1,1,1.000,1,1,1.000,0,2,.000,0,0,0,1,1,0,1,1,3,2.2,-1,jamesbr02
Armel Traoré,5:22,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,1,0,2,1.4,-1,armeltr01
Trey Jemison,5:14,1,1,1.000,0,0,,0,2,.000,1,3,4,0,1,0,0,0,2,3.5,-1,jemistr01
