Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Anthony Davis,35:15,7,18,.389,0,2,.000,7,9,.778,2,10,12,3,0,2,2,1,21,15.9,-19,davisan02
LeBron James,34:52,6,12,.500,1,4,.250,5,6,.833,0,10,10,8,1,0,2,0,18,19.2,-12,jamesle01
Austin Reaves,32:05,5,14,.357,4,11,.364,1,2,.500,0,2,2,1,3,0,1,1,15,9.7,-25,reaveau01
Max Christie,30:23,5,9,.556,1,4,.250,1,1,1.000,1,0,1,3,1,1,2,2,12,9.4,-22,chrisma02
Rui Hachimura,25:51,3,5,.600,0,2,.000,0,0,,1,0,1,2,1,0,1,2,6,5.0,-8,hachiru01
Dorian Finney-Smith,28:28,3,4,.750,3,4,.750,2,2,1.000,0,3,3,0,0,0,1,1,11,8.9,+3,finnedo01
Gabe Vincent,24:03,0,4,.000,0,3,.000,0,0,,0,1,1,2,0,0,0,1,0,-1.5,-5,vincega01
Dalton Knecht,15:58,5,8,.625,2,5,.400,1,2,.500,0,0,0,0,0,1,1,1,13,8.3,-8,knechda01
Jaxson Hayes,11:39,0,1,.000,0,0,,1,2,.500,1,2,3,1,1,2,0,4,1,2.7,-5,hayesja02
Bronny James,1:26,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4,jamesbr02
