Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Dalton Knecht,39:06,7,14,.500,3,7,.429,0,0,,0,4,4,1,0,0,0,3,17,10.7,+5,knechda01
Anthony Davis,37:46,14,22,.636,1,1,1.000,10,13,.769,4,5,9,2,0,3,3,4,39,31.2,0,davisan02
LeBron James,37:02,12,22,.545,5,9,.556,2,4,.500,2,8,10,7,0,1,4,0,31,25.0,-8,jamesle01
Austin Reaves,32:54,3,12,.250,1,4,.250,2,5,.400,1,1,2,3,1,0,2,0,9,2.7,-8,reaveau01
Cam Reddish,20:49,3,4,.750,2,2,1.000,0,0,,2,6,8,0,0,0,0,2,8,8.8,+1,reddica01
Max Christie,24:40,2,3,.667,0,1,.000,1,2,.500,0,1,1,1,2,0,0,1,5,5.9,-2,chrisma02
D'Angelo Russell,23:17,3,10,.300,1,7,.143,0,0,,0,1,1,6,1,1,0,2,7,6.6,+2,russeda01
Gabe Vincent,14:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,+6,vincega01
Christian Koloko,10:14,0,0,,0,0,,2,2,1.000,0,1,1,1,0,1,1,1,2,2.3,-1,kolokch01
