Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Austin Reaves,40:03,9,21,.429,2,8,.250,12,13,.923,1,0,1,7,2,2,6,2,32,22.7,+5,reaveau01
LeBron James,35:42,14,24,.583,4,8,.500,8,8,1.000,0,8,8,4,2,1,11,2,40,24.9,+8,jamesle01
Rui Hachimura,35:03,3,7,.429,0,3,.000,0,0,,4,8,12,1,0,1,1,2,6,7.1,0,hachiru01
Dorian Finney-Smith,33:16,4,7,.571,2,5,.400,0,0,,1,5,6,0,2,1,2,1,10,9.2,+20,finnedo01
Jaxson Hayes,27:42,4,7,.571,0,0,,1,2,.500,2,5,7,4,0,1,1,2,9,9.9,+2,hayesja02
Jordan Goodwin,20:07,0,1,.000,0,1,.000,0,0,,1,4,5,1,0,0,1,2,0,0.1,-8,goodwjo01
Gabe Vincent,16:00,2,7,.286,1,6,.167,2,2,1.000,0,1,1,1,1,0,0,3,7,3.7,0,vincega01
Trey Jemison,14:11,3,5,.600,0,0,,0,0,,2,2,4,0,0,0,0,2,6,4.9,+6,jemistr01
Dalton Knecht,13:22,0,2,.000,0,1,.000,0,0,,0,2,2,2,0,0,0,1,0,0.2,+7,knechda01
Shake Milton,4:34,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-0.1,0,miltosh01
