Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Austin Reaves,39:29,6,10,.600,1,4,.250,3,3,1.000,1,4,5,7,1,0,3,0,16,16.2,+17,reaveau01
Anthony Davis,36:21,13,23,.565,0,3,.000,10,12,.833,3,10,13,3,3,1,2,2,36,32.4,+9,davisan02
LeBron James,34:40,12,25,.480,0,1,.000,1,2,.500,1,4,5,12,1,0,3,0,25,20.2,+11,jamesle01
Max Christie,31:00,4,5,.800,3,4,.750,0,0,,1,7,8,1,0,0,1,1,11,11.2,+4,chrisma02
Dorian Finney-Smith,25:55,3,4,.750,2,3,.667,0,0,,0,3,3,0,0,0,0,1,8,6.9,+20,finnedo01
Gabe Vincent,24:42,3,8,.375,1,6,.167,0,0,,0,0,0,2,0,1,1,4,7,2.1,+1,vincega01
Dalton Knecht,23:18,5,9,.556,3,7,.429,0,0,,0,1,1,1,0,0,1,1,13,8.3,-10,knechda01
Jarred Vanderbilt,12:27,1,2,.500,0,1,.000,0,0,,2,2,4,2,3,0,0,3,2,6.2,+6,vandeja01
Jaxson Hayes,11:44,0,0,,0,0,,0,0,,2,1,3,1,0,0,1,1,0,1.0,-8,hayesja02
Christian Koloko,0:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,kolokch01
