Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Anthony Davis,37:35,11,23,.478,1,3,.333,13,15,.867,3,13,16,4,1,3,1,1,36,34.0,+1,davisan02
Austin Reaves,36:02,6,14,.429,0,5,.000,0,1,.000,4,5,9,4,1,1,0,4,12,11.4,+12,reaveau01
Rui Hachimura,35:05,7,14,.500,1,4,.250,3,4,.750,3,2,5,1,2,1,0,2,18,15.9,+19,hachiru01
LeBron James,34:39,7,16,.438,1,4,.250,1,1,1.000,0,5,5,4,0,2,2,3,16,10.1,-6,jamesle01
D'Angelo Russell,34:13,4,12,.333,1,7,.143,0,0,,0,1,1,5,2,0,1,2,9,6.2,+15,russeda01
Gabe Vincent,17:13,1,2,.500,0,0,,0,0,,0,2,2,2,0,0,2,1,2,0.6,-2,vincega01
Dalton Knecht,15:47,2,4,.500,1,3,.333,0,0,,0,1,1,2,1,0,1,1,5,4.3,+7,knechda01
Jaxson Hayes,15:20,4,5,.800,0,0,,2,2,1.000,3,1,4,0,0,1,0,3,10,10.0,-1,hayesja02
Max Christie,11:25,0,3,.000,0,3,.000,2,2,1.000,1,1,2,0,0,0,0,5,2,-1.1,-5,chrisma02
Bronny James,2:41,0,2,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,-0.7,-5,jamesbr02
