Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
LeBron James,36:56,13,22,.591,4,7,.571,5,8,.625,1,11,12,14,1,0,6,2,35,31.6,+3,jamesle01
Austin Reaves,35:52,5,14,.357,3,11,.273,5,7,.714,0,2,2,6,1,0,3,4,18,10.6,-1,reaveau01
Rui Hachimura,35:47,6,7,.857,3,4,.750,4,5,.800,3,4,7,3,1,1,1,1,19,21.8,+7,hachiru01
Anthony Davis,32:00,6,16,.375,2,3,.667,7,8,.875,2,12,14,3,0,3,3,5,21,16.0,-6,davisan02
Cam Reddish,22:32,1,1,1.000,1,1,1.000,1,4,.250,1,1,2,0,2,1,1,1,4,4.8,-12,reddica01
Dalton Knecht,31:08,7,8,.875,5,5,1.000,0,0,,0,2,2,3,1,0,1,4,19,17.3,+17,knechda01
D'Angelo Russell,20:24,3,9,.333,2,6,.333,0,0,,0,2,2,2,0,0,1,2,8,3.1,+5,russeda01
Christian Koloko,12:43,2,2,1.000,0,0,,0,0,,0,1,1,0,1,0,2,1,4,2.3,+6,kolokch01
Gabe Vincent,12:37,0,6,.000,0,4,.000,0,0,,0,0,0,0,0,0,0,2,0,-5.0,+6,vincega01
