Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Rui Hachimura,39:06,6,12,.500,5,7,.714,1,1,1.000,1,3,4,1,0,1,1,4,18,12.4,-5,hachiru01
LeBron James,36:58,12,22,.545,2,4,.500,5,5,1.000,0,4,4,10,2,1,1,3,31,29.1,+4,jamesle01
Austin Reaves,36:40,8,20,.400,4,10,.400,6,6,1.000,2,8,10,10,1,0,3,0,26,24.0,-4,reaveau01
Max Christie,34:01,5,13,.385,2,8,.250,4,4,1.000,0,4,4,2,0,0,1,2,16,9.7,-8,chrisma02
Anthony Davis,7:12,0,3,.000,0,0,,0,0,,1,1,2,0,1,0,0,0,0,-0.1,-7,davisan02
Gabe Vincent,29:21,2,7,.286,1,6,.167,0,0,,0,3,3,3,0,0,1,3,5,1.7,+3,vincega01
Dalton Knecht,25:18,5,9,.556,1,5,.200,2,2,1.000,2,5,7,2,0,1,0,0,13,13.7,+13,knechda01
Cam Reddish,22:30,2,4,.500,0,2,.000,0,0,,1,0,1,2,2,0,1,2,4,4.3,+7,reddica01
Christian Koloko,8:54,1,1,1.000,0,0,,0,0,,4,2,6,0,0,1,1,0,2,4.8,+7,kolokch01
