Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Austin Reaves,36:07,8,16,.500,2,7,.286,4,4,1.000,0,5,5,8,2,1,1,2,22,22.0,+13,reaveau01
Luka Dončić,32:16,10,21,.476,4,9,.444,7,10,.700,0,8,8,7,2,1,6,3,31,21.9,+20,doncilu01
Dorian Finney-Smith,30:12,5,7,.714,3,4,.750,1,2,.500,1,3,4,4,1,0,0,1,14,15.7,+26,finnedo01
Jordan Goodwin,26:28,2,7,.286,0,3,.000,4,4,1.000,1,2,3,3,4,0,1,1,8,9.9,+1,goodwjo01
Jaxson Hayes,24:11,3,4,.750,0,0,,0,2,.000,2,5,7,0,1,1,0,1,6,7.8,+11,hayesja02
Dalton Knecht,25:13,4,10,.400,3,7,.429,1,2,.500,0,3,3,1,0,0,0,1,12,7.4,-6,knechda01
Gabe Vincent,22:50,4,6,.667,4,6,.667,0,0,,0,0,0,1,0,0,1,2,12,8.3,+7,vincega01
Jarred Vanderbilt,18:10,4,6,.667,0,1,.000,2,2,1.000,1,1,2,1,3,0,3,2,10,8.3,+6,vandeja01
Christian Koloko,14:00,2,2,1.000,0,0,,0,0,,2,3,5,0,0,0,1,3,4,3.5,-3,kolokch01
Shake Milton,6:35,0,4,.000,0,1,.000,1,2,.500,1,0,1,0,0,0,0,1,1,-1.9,-11,miltosh01
Bronny James,3:58,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4,jamesbr02
