Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Anthony Davis,35:07,8,14,.571,0,2,.000,3,3,1.000,4,10,14,7,1,0,1,2,19,22.3,+16,davisan02
LeBron James,33:05,8,18,.444,0,2,.000,0,0,,3,7,10,11,1,1,5,0,16,15.2,+4,jamesle01
Austin Reaves,31:27,5,11,.455,3,6,.500,0,0,,0,2,2,2,0,0,3,1,13,5.9,+8,reaveau01
Dalton Knecht,30:31,8,15,.533,4,10,.400,0,0,,0,8,8,1,2,0,1,2,20,16.0,+9,knechda01
Rui Hachimura,25:51,5,9,.556,2,4,.500,4,4,1.000,2,3,5,2,0,1,0,3,16,14.9,-1,hachiru01
D'Angelo Russell,25:38,7,11,.636,3,6,.500,0,0,,0,1,1,5,1,0,0,2,17,16.1,+19,russeda01
Max Christie,21:44,4,6,.667,1,3,.333,3,3,1.000,0,4,4,2,0,1,1,0,12,11.7,+16,chrisma02
Cam Reddish,17:11,0,1,.000,0,1,.000,0,0,,0,0,0,1,1,0,2,2,0,-1.8,+16,reddica01
Christian Koloko,7:52,2,3,.667,0,0,,0,0,,1,0,1,0,1,0,0,2,4,3.6,+4,kolokch01
Gabe Vincent,5:56,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+1,vincega01
Armel Traoré,2:49,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,0,0,2,2.7,-1,armeltr01
Maxwell Lewis,2:49,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0,-1,lewisma05
