Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Austin Reaves,36:04,4,15,.267,1,8,.125,7,7,1.000,1,1,2,8,1,0,2,1,16,12.3,+18,reaveau01
LeBron James,35:39,8,18,.444,2,6,.333,3,3,1.000,0,10,10,13,2,1,5,0,21,21.4,+19,jamesle01
Anthony Davis,32:28,14,22,.636,1,3,.333,0,1,.000,4,12,16,5,1,4,1,3,29,30.3,+20,davisan02
Max Christie,30:41,2,7,.286,1,5,.200,0,0,,0,5,5,1,0,3,2,1,5,2.8,+22,chrisma02
Rui Hachimura,26:21,4,10,.400,0,2,.000,1,2,.500,0,5,5,0,1,0,0,2,9,4.9,+13,hachiru01
Gabe Vincent,25:07,1,2,.500,1,2,.500,0,0,,0,2,2,3,0,0,0,3,3,3.5,+1,vincega01
Dorian Finney-Smith,22:12,6,8,.750,4,6,.667,0,0,,1,1,2,0,0,0,0,0,16,13.8,+3,finnedo01
Jaxson Hayes,19:26,3,3,1.000,0,0,,2,3,.667,0,3,3,0,0,2,0,1,8,8.6,+3,hayesja02
Dalton Knecht,8:04,1,4,.250,1,2,.500,0,0,,0,2,2,0,0,0,0,0,3,1.2,+8,knechda01
Trey Jemison,1:59,0,0,,0,0,,1,2,.500,1,1,2,0,0,0,0,0,1,1.6,+4,jemistr01
Bronny James,1:59,0,1,.000,0,0,,0,0,,0,1,1,0,1,0,0,0,0,0.6,+4,jamesbr02
