Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
LeBron James,37:17,12,21,.571,2,7,.286,2,3,.667,1,12,13,3,1,0,4,0,28,21.1,-1,jamesle01
Luka Dončić,35:06,9,22,.409,3,9,.333,10,11,.909,1,1,2,5,3,0,6,5,31,18.3,-13,doncilu01
Dorian Finney-Smith,30:52,3,6,.500,1,3,.333,0,0,,2,3,5,3,1,0,1,0,7,8.4,-9,finnedo01
Jaxson Hayes,25:59,2,3,.667,0,0,,1,2,.500,0,1,1,2,0,2,2,1,5,4.0,-15,hayesja02
Austin Reaves,9:02,2,4,.500,2,4,.500,0,0,,0,0,0,0,0,1,0,0,6,4.7,-8,reaveau01
Gabe Vincent,25:49,3,7,.429,1,4,.250,0,0,,0,1,1,3,4,1,0,0,7,10.4,+11,vincega01
Trey Jemison,22:00,2,3,.667,0,0,,1,2,.500,1,5,6,0,0,1,0,2,5,5.4,+19,jemistr01
Jordan Goodwin,21:19,3,7,.429,0,3,.000,0,0,,3,2,5,2,3,0,1,2,6,7.6,+14,goodwjo01
Dalton Knecht,17:54,3,6,.500,2,3,.667,0,0,,1,0,1,1,1,0,1,3,8,5.2,+2,knechda01
Jarred Vanderbilt,14:42,0,1,.000,0,0,,3,4,.750,1,4,5,0,1,0,0,1,3,4.4,+20,vandeja01
