Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Austin Reaves,39:17,13,26,.500,4,10,.400,7,7,1.000,0,8,8,13,4,0,4,3,37,34.3,0,reaveau01
Dalton Knecht,36:52,13,27,.481,5,13,.385,1,2,.500,1,1,2,1,0,0,0,5,32,17.6,-10,knechda01
Jordan Goodwin,33:34,4,8,.500,2,3,.667,0,0,,3,3,6,2,1,1,0,2,10,11.3,-8,goodwjo01
Jarred Vanderbilt,24:21,3,6,.500,1,2,.500,2,4,.500,4,3,7,7,3,0,1,4,9,14.2,-13,vandeja01
Alex Len,11:58,1,2,.500,0,0,,0,0,,4,1,5,1,0,0,0,3,2,3.6,-8,lenal01
Shake Milton,28:20,7,11,.636,1,2,.500,1,1,1.000,1,4,5,3,1,0,2,1,16,13.7,+10,miltosh01
Markieff Morris,23:41,3,11,.273,1,4,.250,0,0,,2,3,5,3,0,0,0,2,7,4.1,-5,morrima02
Christian Koloko,19:30,4,7,.571,0,0,,0,0,,2,5,7,2,0,1,1,5,8,6.7,+13,kolokch01
Bronny James,15:43,1,5,.200,1,5,.200,2,2,1.000,2,0,2,0,1,0,0,0,5,4.3,+8,jamesbr02
Cam Reddish,6:44,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-12,reddica01
