Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Austin Reaves,33:29,4,13,.308,2,7,.286,2,2,1.000,1,4,5,8,0,0,4,3,12,6.8,-18,reaveau01
Anthony Davis,32:23,13,18,.722,2,5,.400,2,4,.500,8,5,13,2,2,2,2,4,30,30.1,-21,davisan02
LeBron James,32:06,7,11,.636,2,3,.667,2,4,.500,1,4,5,8,1,1,7,3,18,13.3,-15,jamesle01
Max Christie,30:54,4,11,.364,2,8,.250,0,1,.000,0,1,1,1,0,0,1,0,10,3.5,-13,chrisma02
Rui Hachimura,29:34,3,6,.500,3,4,.750,0,0,,0,3,3,1,2,0,1,1,9,8.2,-16,hachiru01
Dorian Finney-Smith,20:10,1,4,.250,1,3,.333,1,2,.500,1,2,3,0,2,0,1,1,4,3.1,-13,finnedo01
Gabe Vincent,17:22,3,6,.500,1,3,.333,0,0,,1,1,2,1,1,0,3,1,7,3.3,-3,vincega01
Cam Reddish,15:22,1,7,.143,1,4,.250,0,0,,2,2,4,0,0,0,0,1,3,0.1,-11,reddica01
Dalton Knecht,13:49,1,5,.200,0,4,.000,3,3,1.000,0,3,3,1,1,0,0,1,5,4.1,-1,knechda01
Jaxson Hayes,12:45,2,4,.500,0,1,.000,0,0,,1,0,1,1,0,1,0,2,4,3.3,-4,hayesja02
Quincy Olivari,2:06,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,0,0,-0.7,-5,olivaqu01
