Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Rui Hachimura,38:23,4,8,.500,1,5,.200,0,0,,3,8,11,1,1,1,0,2,9,11.1,+10,hachiru01
Anthony Davis,37:19,4,10,.400,0,0,,2,4,.500,2,13,15,5,0,3,5,2,10,8.9,-2,davisan02
Austin Reaves,35:56,6,14,.429,1,7,.143,3,5,.600,2,2,4,5,0,0,2,1,16,10.9,+10,reaveau01
LeBron James,34:25,13,24,.542,1,8,.125,5,6,.833,0,7,7,6,4,0,4,2,32,25.5,+10,jamesle01
Max Christie,17:38,2,4,.500,1,2,.500,0,0,,0,3,3,0,2,0,0,1,5,5.5,+3,chrisma02
D'Angelo Russell,30:22,7,13,.538,3,7,.429,3,4,.750,0,4,4,5,0,0,1,2,20,16.2,+1,russeda01
Cam Reddish,21:40,2,7,.286,0,3,.000,1,2,.500,2,2,4,0,2,2,0,1,5,5.5,0,reddica01
Gabe Vincent,15:55,2,3,.667,2,3,.667,0,0,,0,0,0,0,1,0,0,2,6,4.9,-4,vincega01
Dalton Knecht,4:59,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-0.3,-6,knechda01
Christian Koloko,3:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-2,kolokch01
