Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Austin Reaves,40:03,10,20,.500,9,16,.563,2,3,.667,1,5,6,3,1,0,0,5,31,23.9,+2,reaveau01
LeBron James,39:51,10,15,.667,5,8,.625,8,9,.889,1,4,5,9,1,1,4,2,33,31.2,-1,jamesle01
Luka Dončić,37:50,6,17,.353,0,6,.000,7,7,1.000,2,6,8,7,0,1,1,3,19,16.1,-3,doncilu01
Rui Hachimura,33:43,9,15,.600,3,6,.500,3,4,.750,3,3,6,3,0,0,1,2,24,20.0,-1,hachiru01
Jaxson Hayes,14:50,1,4,.250,0,0,,0,0,,2,1,3,0,1,0,0,2,2,1.5,+3,hayesja02
Dorian Finney-Smith,29:23,1,6,.167,0,5,.000,0,0,,1,0,1,1,0,1,1,4,2,-2.3,-14,finnedo01
Gabe Vincent,17:25,1,5,.200,1,5,.200,0,0,,0,0,0,0,0,0,1,3,3,-2.3,-14,vincega01
Jordan Goodwin,14:16,0,1,.000,0,0,,0,0,,1,2,3,0,2,0,0,1,0,2.2,0,goodwjo01
Jarred Vanderbilt,12:39,1,3,.333,0,1,.000,0,0,,3,4,7,0,0,0,0,1,2,3.2,-7,vandeja01
