Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Rui Hachimura,37:43,2,5,.400,0,1,.000,4,6,.667,1,5,6,1,1,1,3,5,8,4.1,+13,hachiru01
Austin Reaves,35:46,6,15,.400,2,8,.250,5,5,1.000,0,2,2,8,2,0,1,4,19,16.5,+11,reaveau01
LeBron James,34:00,7,17,.412,3,6,.500,1,4,.250,4,4,8,8,1,2,5,2,18,13.9,0,jamesle01
Anthony Davis,33:24,15,22,.682,1,4,.250,9,12,.750,4,12,16,2,2,1,4,4,40,34.3,+14,davisan02
Max Christie,28:46,1,3,.333,1,2,.500,4,4,1.000,1,1,2,1,0,1,1,4,7,5.1,+7,chrisma02
D'Angelo Russell,17:27,2,7,.286,2,6,.333,1,2,.500,0,3,3,2,1,0,3,1,7,2.4,-7,russeda01
Cam Reddish,14:16,3,6,.500,0,2,.000,2,2,1.000,0,2,2,1,2,0,1,3,8,6.1,+8,reddica01
Gabe Vincent,13:57,1,3,.333,1,3,.333,0,0,,0,2,2,0,1,2,1,1,3,2.9,-3,vincega01
Dalton Knecht,12:46,2,4,.500,0,2,.000,1,2,.500,0,3,3,0,0,0,2,1,5,1.1,-2,knechda01
Christian Koloko,11:55,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,2,1,-0.2,-11,kolokch01
