Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Austin Reaves,38:57,5,11,.455,0,3,.000,2,2,1.000,1,7,8,3,2,0,1,1,12,11.8,+8,reaveau01
Luka Dončić,38:02,6,16,.375,1,7,.143,7,9,.778,0,6,6,9,2,0,3,5,20,15.5,+7,doncilu01
LeBron James,37:40,5,12,.417,2,4,.500,4,4,1.000,0,8,8,4,2,2,3,1,16,14.8,+9,jamesle01
Rui Hachimura,30:48,3,10,.300,1,6,.167,0,0,,0,2,2,0,2,0,0,1,7,3.4,0,hachiru01
Jaxson Hayes,14:08,1,2,.500,0,0,,1,1,1.000,1,2,3,1,0,0,2,2,3,1.2,-9,hayesja02
Dorian Finney-Smith,31:42,6,13,.462,6,11,.545,2,2,1.000,1,5,6,3,2,3,1,2,20,19.9,+16,finnedo01
Gabe Vincent,23:34,6,14,.429,6,13,.462,2,2,1.000,2,2,4,1,1,1,0,1,20,16.6,+8,vincega01
Jordan Goodwin,11:40,2,5,.400,0,2,.000,0,0,,1,1,2,1,0,0,1,1,4,1.6,-4,goodwjo01
Jarred Vanderbilt,9:33,1,6,.167,0,0,,0,0,,4,2,6,0,0,0,0,1,2,1.2,-4,vandeja01
Dalton Knecht,3:56,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1,knechda01
