Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Austin Reaves,37:51,8,15,.533,5,9,.556,2,3,.667,0,8,8,3,2,0,1,3,23,19.6,+12,reaveau01
LeBron James,35:48,3,14,.214,2,5,.400,3,6,.500,0,5,5,8,1,0,2,1,11,6.9,-17,jamesle01
Anthony Davis,35:30,12,24,.500,0,2,.000,5,6,.833,5,10,15,3,1,3,3,1,29,24.9,+14,davisan02
D'Angelo Russell,33:19,5,13,.385,2,9,.222,2,2,1.000,0,1,1,9,0,0,2,3,14,10.3,0,russeda01
Rui Hachimura,31:21,8,18,.444,3,3,1.000,1,1,1.000,5,5,10,1,1,1,0,5,20,16.0,+20,hachiru01
Max Christie,23:10,2,4,.500,1,1,1.000,0,0,,1,1,2,1,0,2,0,4,5,4.5,-13,chrisma02
Gabe Vincent,19:17,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,1.3,-5,vincega01
Jaxson Hayes,12:30,0,0,,0,0,,0,0,,0,4,4,0,0,0,3,2,0,-2.6,-18,hayesja02
Dalton Knecht,11:14,0,3,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.8,-13,knechda01
