Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Dalton Knecht,31:04,5,14,.357,3,6,.500,4,5,.800,0,4,4,3,1,0,3,0,17,10.1,-10,knechda01
Jordan Goodwin,31:03,3,8,.375,2,3,.667,0,0,,1,7,8,5,1,2,3,0,8,9.3,-18,goodwjo01
Markieff Morris,28:25,3,11,.273,1,7,.143,2,2,1.000,1,3,4,2,0,1,0,2,9,5.4,+7,morrima02
Gabe Vincent,25:03,3,12,.250,2,7,.286,1,2,.500,0,2,2,4,0,0,2,4,9,1.2,-6,vincega01
Jaxson Hayes,16:05,4,5,.800,0,1,.000,1,2,.500,0,5,5,3,0,0,1,4,9,7.7,-5,hayesja02
Bronny James,29:53,7,10,.700,2,4,.500,1,1,1.000,0,3,3,5,0,1,4,4,17,12.3,-36,jamesbr02
Shake Milton,22:30,2,6,.333,0,1,.000,0,0,,4,2,6,3,0,0,2,6,4,1.7,-37,miltosh01
Cam Reddish,22:21,1,6,.167,0,1,.000,0,0,,2,2,4,0,2,0,0,0,2,2.2,-17,reddica01
Alex Len,17:17,4,7,.571,1,2,.500,1,4,.250,4,5,9,1,1,0,3,4,10,6.9,-4,lenal01
Trey Jemison,16:19,2,3,.667,0,0,,0,0,,2,3,5,0,0,0,1,1,4,3.6,-19,jemistr01
