Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Anthony Davis,35:29,11,20,.550,2,3,.667,7,8,.875,3,6,9,1,0,4,3,2,31,24.6,+20,davisan02
LeBron James,33:48,9,14,.643,2,4,.500,1,1,1.000,0,12,12,13,0,3,2,0,21,27.6,+12,jamesle01
Rui Hachimura,32:50,3,8,.375,3,6,.500,0,0,,1,3,4,1,0,0,1,5,9,3.9,-4,hachiru01
Austin Reaves,29:56,7,13,.538,6,10,.600,0,0,,0,6,6,7,0,1,2,1,20,18.7,+14,reaveau01
Cam Reddish,27:49,1,1,1.000,1,1,1.000,0,0,,0,5,5,2,1,1,1,1,3,5.9,-6,reddica01
D'Angelo Russell,25:24,7,12,.583,2,4,.500,2,3,.667,0,2,2,3,0,0,2,0,18,12.7,+13,russeda01
Dalton Knecht,16:10,1,8,.125,0,5,.000,0,0,,0,4,4,0,0,0,0,0,2,-2.0,+17,knechda01
Gabe Vincent,15:40,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,3,2,-0.2,+4,vincega01
Jaxson Hayes,15:34,3,4,.750,0,0,,2,2,1.000,1,1,2,0,0,4,0,3,8,9.0,0,hayesja02
Max Christie,1:28,1,3,.333,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,0.3,-4,chrisma02
Jalen Hood-Schifino,1:28,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4,hoodsja01
Bronny James,1:28,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4,jamesbr02
Christian Koloko,1:28,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,0.6,-4,kolokch01
Maxwell Lewis,1:28,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-4,lewisma05
