Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
LeBron James,38:45,8,20,.400,0,5,.000,1,2,.500,1,4,5,12,2,0,4,1,17,13.7,-10,jamesle01
Luka Dončić,38:10,8,22,.364,4,12,.333,5,6,.833,0,10,10,8,2,1,1,0,25,22.7,-1,doncilu01
Austin Reaves,36:53,10,17,.588,3,9,.333,7,7,1.000,0,1,1,3,0,2,2,4,30,22.3,-10,reaveau01
Jaxson Hayes,32:04,9,11,.818,0,0,,1,2,.500,3,5,8,1,0,1,0,3,19,18.3,-9,hayesja02
Dorian Finney-Smith,30:12,1,5,.200,1,5,.200,0,0,,0,4,4,2,1,0,3,1,3,0.1,-10,finnedo01
Jarred Vanderbilt,19:11,3,4,.750,0,0,,1,1,1.000,2,3,5,1,2,1,0,3,7,9.9,+9,vandeja01
Jordan Goodwin,18:29,3,4,.750,2,3,.667,0,0,,0,2,2,2,1,2,1,3,8,8.6,+3,goodwjo01
Gabe Vincent,13:47,3,6,.500,2,5,.400,0,0,,0,2,2,0,0,0,0,3,8,4.4,+13,vincega01
Dalton Knecht,12:29,0,2,.000,0,2,.000,0,0,,0,3,3,1,0,0,0,1,0,-0.2,+5,knechda01
