Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Anthony Davis,36:59,5,14,.357,0,1,.000,6,6,1.000,1,9,10,3,1,3,3,1,16,13.4,-18,davisan02
LeBron James,35:03,9,20,.450,2,6,.333,5,6,.833,2,3,5,11,3,1,5,3,25,21.7,-3,jamesle01
Austin Reaves,34:24,4,6,.667,2,4,.500,4,4,1.000,0,2,2,3,0,1,5,1,14,9.4,-16,reaveau01
Rui Hachimura,33:08,9,14,.643,1,3,.333,0,1,.000,1,6,7,1,0,0,0,1,19,15.2,-13,hachiru01
Max Christie,23:21,4,7,.571,2,4,.500,0,0,,0,1,1,1,0,1,1,1,10,7.0,-23,chrisma02
Gabe Vincent,22:40,2,5,.400,0,3,.000,0,0,,0,0,0,1,0,0,1,2,4,0.2,0,vincega01
Dorian Finney-Smith,21:59,0,3,.000,0,3,.000,0,0,,0,1,1,3,1,0,0,2,0,0.5,-6,finnedo01
Dalton Knecht,16:19,3,4,.750,2,3,.667,2,2,1.000,0,4,4,1,0,0,0,3,10,9.1,+3,knechda01
Jaxson Hayes,12:47,2,2,1.000,0,0,,0,0,,0,2,2,2,1,0,0,0,4,6.4,+4,hayesja02
Bronny James,1:40,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1,jamesbr02
Christian Koloko,1:40,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0,+1,kolokch01
