Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Luka Dončić,37:29,11,20,.550,5,11,.455,3,4,.750,1,6,7,6,2,0,2,2,30,25.9,+18,doncilu01
LeBron James,34:15,9,16,.563,1,1,1.000,0,0,,2,1,3,7,1,0,2,0,19,17.0,+7,jamesle01
Austin Reaves,33:45,7,15,.467,4,8,.500,2,2,1.000,0,2,2,3,1,1,3,1,20,13.3,+14,reaveau01
Rui Hachimura,31:40,4,10,.400,2,6,.333,1,1,1.000,2,5,7,1,0,1,1,3,11,7.7,+8,hachiru01
Jaxson Hayes,12:41,3,4,.750,0,0,,1,4,.250,1,4,5,0,0,0,2,2,7,3.3,+10,hayesja02
Dorian Finney-Smith,29:42,4,5,.800,4,5,.800,2,2,1.000,0,7,7,2,0,0,1,2,14,13.8,+28,finnedo01
Gabe Vincent,26:28,4,7,.571,4,7,.571,0,0,,0,3,3,3,0,0,0,3,12,10.5,+21,vincega01
Jarred Vanderbilt,15:07,0,1,.000,0,0,,3,4,.750,1,1,2,1,2,0,2,1,3,3.2,+4,vandeja01
Jordan Goodwin,9:29,2,4,.500,0,0,,0,0,,1,4,5,2,0,0,2,0,4,3.3,+12,goodwjo01
Dalton Knecht,4:52,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,2.3,+5,knechda01
Bronny James,2:16,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,3.0,+4,jamesbr02
Christian Koloko,2:16,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+4,kolokch01
