Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Austin Reaves,38:27,4,10,.400,1,5,.200,2,2,1.000,2,2,4,4,1,0,2,3,11,8.2,+19,reaveau01
Luka Dončić,38:03,16,28,.571,7,10,.700,6,9,.667,1,7,8,6,4,0,3,4,45,37.0,+26,doncilu01
Rui Hachimura,37:30,5,10,.500,3,7,.429,2,2,1.000,0,2,2,2,1,0,1,2,15,11.2,+21,hachiru01
LeBron James,36:17,11,20,.550,0,4,.000,5,6,.833,2,5,7,3,1,0,2,2,27,20.2,+18,jamesle01
Jaxson Hayes,13:31,1,3,.333,0,0,,1,2,.500,3,2,5,0,2,0,0,2,3,4.8,-9,hayesja02
Dorian Finney-Smith,32:53,2,8,.250,1,6,.167,0,0,,4,1,5,5,1,0,0,0,5,7.8,+29,finnedo01
Gabe Vincent,17:10,1,5,.200,0,3,.000,0,0,,0,1,1,0,0,0,0,0,2,-0.8,-16,vincega01
Jarred Vanderbilt,12:51,1,4,.250,0,0,,0,0,,2,3,5,1,2,0,0,1,2,4.2,-9,vandeja01
Jordan Goodwin,8:34,0,1,.000,0,1,.000,0,0,,1,1,2,0,2,0,1,1,0,0.9,-2,goodwjo01
Dalton Knecht,1:35,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-1,knechda01
Trey Jemison,1:35,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1,jemistr01
Bronny James,1:34,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,0,jamesbr02
