Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Luka Dončić,35:40,14,27,.519,7,13,.538,10,12,.833,1,10,11,3,2,1,6,2,45,32.6,-16,doncilu01
Austin Reaves,35:38,10,17,.588,4,7,.571,4,4,1.000,0,8,8,3,0,0,3,3,28,20.4,-6,reaveau01
Dorian Finney-Smith,29:34,2,8,.250,1,5,.200,0,0,,1,0,1,0,0,0,1,5,5,-2.1,-16,finnedo01
Gabe Vincent,26:11,3,10,.300,0,5,.000,0,0,,0,1,1,1,0,0,0,1,6,0.8,-12,vincega01
Alex Len,19:29,1,3,.333,0,0,,0,0,,1,2,3,1,0,0,1,1,2,0.9,-15,lenal01
Jordan Goodwin,25:45,0,2,.000,0,1,.000,0,0,,1,3,4,3,0,1,0,3,0,1.8,-17,goodwjo01
Dalton Knecht,21:54,4,7,.571,2,4,.500,0,0,,0,5,5,3,0,0,1,3,10,8.1,-3,knechda01
Jarred Vanderbilt,14:56,2,4,.500,0,1,.000,0,0,,1,2,3,1,0,0,0,0,4,4.0,-14,vandeja01
Christian Koloko,14:47,1,3,.333,0,1,.000,0,0,,0,0,0,1,0,2,1,2,2,0.6,-1,kolokch01
Markieff Morris,12:00,1,4,.250,1,2,.500,1,2,.500,0,1,1,2,0,0,0,3,4,1.7,0,morrima02
Shake Milton,4:06,0,2,.000,0,1,.000,0,0,,0,1,1,0,1,0,0,0,0,-0.1,0,miltosh01
