Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
LeBron James,34:47,6,14,.429,0,3,.000,7,7,1.000,2,8,10,16,1,0,3,0,19,24.6,+13,jamesle01
Austin Reaves,32:35,10,17,.588,3,9,.333,4,5,.800,0,1,1,6,1,0,0,4,27,22.6,+11,reaveau01
Rui Hachimura,31:40,2,11,.182,0,5,.000,0,0,,3,2,5,0,2,1,0,2,4,1.7,+6,hachiru01
Cam Reddish,28:40,5,7,.714,1,3,.333,0,0,,1,1,2,1,1,0,0,2,11,10.0,+7,reddica01
Anthony Davis,25:53,6,8,.750,2,2,1.000,8,10,.800,1,3,4,3,1,2,0,1,22,23.7,-3,davisan02
D'Angelo Russell,26:46,6,13,.462,3,9,.333,0,0,,0,2,2,1,1,0,1,0,15,9.6,+18,russeda01
Jaxson Hayes,21:22,4,6,.667,0,0,,4,6,.667,3,3,6,1,0,1,0,4,12,11.4,+21,hayesja02
Gabe Vincent,18:29,2,5,.400,1,3,.333,0,0,,0,1,1,0,1,0,1,1,5,2.2,+13,vincega01
Dalton Knecht,14:48,2,4,.500,1,2,.500,0,0,,0,1,1,2,0,0,0,0,5,4.7,+14,knechda01
Max Christie,1:40,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,1,0,0,0,3,4.0,0,chrisma02
Bronny James,1:40,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,0,jamesbr02
Maxwell Lewis,1:40,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,lewisma05
