Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Austin Reaves,38:39,6,18,.333,3,7,.429,5,6,.833,4,3,7,6,0,0,6,1,20,10.9,+18,reaveau01
Anthony Davis,37:18,6,17,.353,0,2,.000,6,7,.857,4,15,19,4,3,3,4,2,18,18.5,+17,davisan02
Max Christie,32:31,3,4,.750,1,2,.500,2,3,.667,1,3,4,2,0,1,2,4,9,7.1,+14,chrisma02
LeBron James,30:00,13,20,.650,2,5,.400,2,2,1.000,0,3,3,8,0,0,3,3,30,23.5,+4,jamesle01
Rui Hachimura,24:29,6,9,.667,1,3,.333,0,1,.000,3,5,8,1,0,1,1,2,13,11.9,+10,hachiru01
Dorian Finney-Smith,23:24,3,5,.600,2,3,.667,0,0,,3,2,5,0,0,0,0,5,8,6.4,+12,finnedo01
Dalton Knecht,14:57,4,7,.571,3,4,.750,2,2,1.000,1,3,4,1,1,0,1,2,13,11.2,+6,knechda01
Shake Milton,13:29,0,3,.000,0,2,.000,2,2,1.000,0,4,4,4,0,1,1,1,2,3.2,+1,miltosh01
Cam Reddish,12:50,1,2,.500,1,2,.500,0,0,,1,0,1,1,0,0,0,1,3,3.0,+1,reddica01
Jaxson Hayes,10:42,1,2,.500,0,0,,1,2,.500,0,1,1,0,0,0,0,0,3,1.9,0,hayesja02
Bronny James,1:41,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,+2,jamesbr02
