Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Austin Reaves,41:19,6,13,.462,3,6,.500,6,7,.857,0,0,0,10,0,0,0,2,21,20.1,+12,reaveau01
Max Christie,38:45,4,8,.500,2,5,.400,4,4,1.000,1,5,6,2,1,0,1,2,14,12.8,+14,chrisma02
Anthony Davis,38:28,10,18,.556,2,4,.500,8,8,1.000,4,9,13,2,0,5,4,5,30,25.8,+7,davisan02
LeBron James,36:03,8,16,.500,4,7,.571,1,2,.500,1,12,13,9,1,0,2,4,21,20.6,-13,jamesle01
Rui Hachimura,28:01,5,9,.556,3,6,.500,0,2,.000,1,0,1,0,0,0,1,2,13,6.8,+4,hachiru01
Dorian Finney-Smith,25:52,5,9,.556,2,6,.333,1,1,1.000,1,1,2,2,2,0,0,3,13,11.9,-6,finnedo01
Dalton Knecht,17:02,0,3,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.8,-3,knechda01
Jaxson Hayes,5:56,0,2,.000,0,0,,2,2,1.000,1,1,2,1,0,0,0,2,2,1.5,-7,hayesja02
Shake Milton,4:58,0,0,,0,0,,1,2,.500,1,0,1,0,0,0,2,0,1,-0.7,-16,miltosh01
Cam Reddish,3:36,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-12,reddica01
