Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Austin Reaves,42:36,9,16,.563,3,4,.750,5,8,.625,1,5,6,16,0,0,5,3,26,24.4,+15,reaveau01
Anthony Davis,38:55,12,16,.750,1,1,1.000,11,13,.846,2,13,15,8,0,0,2,2,36,36.9,+21,davisan02
Rui Hachimura,34:14,7,11,.636,4,5,.800,3,3,1.000,0,4,4,0,1,2,1,1,21,18.3,-1,hachiru01
Max Christie,32:10,5,8,.625,3,5,.600,3,3,1.000,0,1,1,2,2,1,0,5,16,14.8,-7,chrisma02
Gabe Vincent,6:55,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,0,0,-1.4,+9,vincega01
Dalton Knecht,32:53,6,10,.600,2,5,.400,4,4,1.000,0,2,2,1,0,0,0,0,18,14.7,+9,knechda01
D'Angelo Russell,28:15,4,10,.400,1,4,.250,0,0,,0,2,2,4,0,0,1,1,9,5.6,+4,russeda01
Cam Reddish,19:15,1,3,.333,0,1,.000,0,2,.000,0,1,1,2,1,0,0,0,2,2.2,+4,reddica01
Christian Koloko,4:47,2,2,1.000,0,0,,0,0,,1,0,1,0,0,0,1,1,4,2.7,-4,kolokch01
