Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Luka Dončić,38:22,8,18,.444,2,9,.222,11,12,.917,0,8,8,9,2,0,3,3,29,25.7,+11,doncilu01
LeBron James,37:27,10,21,.476,2,5,.400,3,4,.750,1,5,6,8,3,1,3,3,25,21.2,-1,jamesle01
Austin Reaves,37:21,8,16,.500,5,8,.625,10,10,1.000,3,4,7,8,1,1,3,2,31,29.8,-5,reaveau01
Rui Hachimura,28:28,5,8,.625,3,5,.600,0,0,,0,3,3,0,0,1,0,1,13,10.6,-3,hachiru01
Jaxson Hayes,17:06,1,1,1.000,0,0,,0,0,,0,5,5,0,0,0,1,4,2,0.6,+3,hayesja02
Dorian Finney-Smith,34:44,4,9,.444,3,7,.429,0,0,,0,5,5,1,0,0,1,2,11,6.7,+15,finnedo01
Gabe Vincent,23:05,5,7,.714,4,6,.667,1,1,1.000,1,1,2,1,1,0,1,3,15,12.6,+9,vincega01
Jarred Vanderbilt,9:52,3,5,.600,0,1,.000,0,0,,1,3,4,1,0,0,1,2,6,4.2,-1,vandeja01
Jordan Goodwin,8:10,0,2,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,-0.7,+4,goodwjo01
Dalton Knecht,5:23,1,2,.500,0,1,.000,0,0,,1,0,1,2,0,0,0,1,2,2.7,+3,knechda01
