Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Austin Reaves,38:02,5,10,.500,2,5,.400,11,12,.917,3,3,6,5,2,0,4,3,23,20.9,+9,reaveau01
LeBron James,37:26,11,21,.524,4,9,.444,7,10,.700,5,12,17,6,1,1,4,1,33,30.1,+12,jamesle01
Luka Dončić,35:46,6,20,.300,1,9,.111,8,12,.667,2,11,13,5,0,0,3,2,21,12.2,0,doncilu01
Jaxson Hayes,22:50,3,5,.600,0,0,,4,6,.667,4,3,7,0,1,1,0,3,10,11.1,+18,hayesja02
Rui Hachimura,18:27,2,6,.333,1,4,.250,0,0,,1,2,3,2,0,0,0,0,5,4.3,+21,hachiru01
Dorian Finney-Smith,30:31,1,4,.250,1,4,.250,0,0,,1,0,1,1,1,0,0,4,3,1.4,+1,finnedo01
Gabe Vincent,20:19,1,6,.167,0,5,.000,2,2,1.000,0,1,1,0,0,0,0,1,4,0.1,-5,vincega01
Jarred Vanderbilt,13:06,2,3,.667,1,2,.500,0,2,.000,0,2,2,1,0,0,0,2,5,3.4,-17,vandeja01
Jordan Goodwin,12:33,3,5,.600,1,2,.500,0,0,,0,1,1,1,2,0,1,1,7,6.3,+8,goodwjo01
Dalton Knecht,11:00,0,2,.000,0,1,.000,0,2,.000,0,1,1,0,0,0,0,1,0,-2.3,-2,knechda01
