Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Austin Reaves,40:30,14,26,.538,4,9,.444,13,13,1.000,0,7,7,7,3,0,4,3,45,37.2,+14,reaveau01
Dorian Finney-Smith,34:43,3,8,.375,1,5,.200,0,0,,0,3,3,6,0,1,3,0,7,5.4,+11,finnedo01
Rui Hachimura,33:06,8,13,.615,2,3,.667,6,6,1.000,1,8,9,0,1,0,1,3,24,20.0,+4,hachiru01
Jaxson Hayes,29:11,4,4,1.000,0,0,,1,2,.500,3,9,12,2,0,2,0,2,9,14.2,+3,hayesja02
Gabe Vincent,24:56,5,13,.385,2,8,.250,0,0,,0,0,0,7,2,0,2,4,12,8.2,+5,vincega01
Jordan Goodwin,24:48,4,7,.571,1,2,.500,1,1,1.000,2,2,4,1,0,0,2,3,10,6.2,+1,goodwjo01
Jarred Vanderbilt,19:48,2,4,.500,0,2,.000,0,0,,2,4,6,1,0,0,1,1,4,3.9,+5,vandeja01
Shake Milton,15:11,1,4,.250,0,1,.000,0,1,.000,0,3,3,4,0,0,0,2,2,2.1,-4,miltosh01
Trey Jemison,11:44,4,5,.800,0,0,,0,0,,1,0,1,1,0,0,0,3,8,6.3,-7,jemistr01
Markieff Morris,6:01,1,4,.250,1,3,.333,0,0,,0,1,1,0,0,0,1,1,3,-0.5,+3,morrima02
