Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Anthony Davis,37:44,5,9,.556,0,0,,5,7,.714,2,10,12,7,1,4,1,2,15,21.2,-5,davisan02
LeBron James,33:31,5,13,.385,0,4,.000,2,2,1.000,0,8,8,6,0,0,5,0,12,6.5,-12,jamesle01
Dalton Knecht,33:09,7,17,.412,6,13,.462,0,0,,1,5,6,4,0,0,0,2,20,15.1,-10,knechda01
Rui Hachimura,30:15,4,7,.571,0,1,.000,0,0,,3,2,5,2,1,2,1,1,8,9.8,-8,hachiru01
Austin Reaves,29:11,3,11,.273,1,9,.111,4,5,.800,1,4,5,3,0,0,5,3,11,1.9,-8,reaveau01
D'Angelo Russell,25:30,6,11,.545,4,9,.444,1,1,1.000,0,9,9,3,2,0,4,4,17,12.9,+4,russeda01
Max Christie,22:55,2,3,.667,0,1,.000,4,4,1.000,0,1,1,0,0,0,1,2,8,5.2,+4,chrisma02
Gabe Vincent,14:34,1,1,1.000,0,0,,0,2,.000,1,0,1,0,0,0,0,2,2,0.8,-7,vincega01
Cam Reddish,13:11,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,2,0,-1.5,+2,reddica01
