Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Rui Hachimura,40:25,5,11,.455,2,8,.250,1,2,.500,3,4,7,3,2,0,0,4,13,12.7,-2,hachiru01
Anthony Davis,38:50,13,25,.520,2,4,.500,5,6,.833,1,10,11,0,2,1,1,1,33,25.3,+6,davisan02
LeBron James,36:04,12,28,.429,0,9,.000,3,3,1.000,1,4,5,14,0,2,3,1,27,21.9,0,jamesle01
Gabe Vincent,31:30,4,5,.800,2,3,.667,0,0,,0,3,3,2,1,0,0,3,10,10.2,-8,vincega01
Dalton Knecht,30:20,2,10,.200,1,5,.200,1,2,.500,3,4,7,1,1,0,0,5,6,2.4,-19,knechda01
Max Christie,30:07,2,6,.333,0,2,.000,8,10,.800,1,4,5,2,0,0,0,0,12,11.1,+10,chrisma02
Jalen Hood-Schifino,12:40,1,1,1.000,0,0,,2,2,1.000,1,0,1,1,0,1,1,3,4,3.6,+12,hoodsja01
Armel Traoré,10:52,0,2,.000,0,2,.000,0,0,,0,2,2,0,1,0,0,1,0,-0.2,+11,armeltr01
Christian Koloko,9:12,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-5,kolokch01
