Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Austin Reaves,33:56,9,13,.692,3,7,.429,4,4,1.000,1,1,2,5,0,0,2,0,25,22.0,-21,reaveau01
Luka Dončić,31:34,10,18,.556,8,13,.615,6,8,.750,4,4,8,6,0,0,7,1,34,25.4,-9,doncilu01
LeBron James,31:25,7,16,.438,1,2,.500,2,5,.400,0,6,6,4,3,0,5,1,17,9.6,-27,jamesle01
Jaxson Hayes,25:23,5,6,.833,0,0,,0,1,.000,0,4,4,2,1,0,0,2,10,10.2,-17,hayesja02
Dorian Finney-Smith,20:31,1,4,.250,0,3,.000,0,0,,0,2,2,1,1,1,2,5,2,-1.4,-19,finnedo01
Gabe Vincent,19:22,2,4,.500,2,4,.500,0,0,,1,2,3,0,0,0,1,0,6,4.3,-5,vincega01
Rui Hachimura,17:55,2,6,.333,1,4,.250,0,0,,0,2,2,0,1,0,0,0,5,3.2,-4,hachiru01
Jordan Goodwin,15:18,1,3,.333,0,1,.000,2,2,1.000,2,1,3,1,1,0,0,3,4,4.5,-4,goodwjo01
Jarred Vanderbilt,11:06,0,2,.000,0,1,.000,0,0,,1,1,2,0,0,0,3,2,0,-4.2,-9,vandeja01
Dalton Knecht,6:42,2,4,.500,2,3,.667,0,0,,0,1,1,1,1,0,0,1,6,5.6,-8,knechda01
Bronny James,6:42,0,4,.000,0,2,.000,2,2,1.000,0,0,0,1,0,0,0,1,2,-0.5,-8,jamesbr02
Shake Milton,6:42,1,3,.333,0,1,.000,0,0,,0,1,1,1,0,0,0,0,2,1.3,-8,miltosh01
Markieff Morris,6:42,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,0,2,1.7,-8,morrima02
Alex Len,6:42,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,-8,lenal01
