Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Austin Reaves,33:16,7,13,.538,4,8,.500,5,6,.833,0,3,3,6,0,0,0,1,23,21.0,+14,reaveau01
Anthony Davis,30:32,9,18,.500,0,1,.000,6,6,1.000,2,6,8,3,1,3,1,1,24,22.0,+15,davisan02
LeBron James,30:31,9,20,.450,0,2,.000,2,2,1.000,3,11,14,6,0,0,2,0,20,17.2,+7,jamesle01
Max Christie,29:03,2,6,.333,2,6,.333,0,0,,0,4,4,2,0,0,2,1,6,2.8,+12,chrisma02
Rui Hachimura,27:49,3,9,.333,2,5,.400,2,2,1.000,2,5,7,2,1,0,0,1,10,9.8,+12,hachiru01
Gabe Vincent,25:57,4,8,.500,4,7,.571,0,0,,0,1,1,4,0,0,0,5,12,9.1,+22,vincega01
Dorian Finney-Smith,20:23,0,2,.000,0,2,.000,0,0,,2,2,4,0,2,0,0,2,0,1.8,+20,finnedo01
Jaxson Hayes,14:29,2,4,.500,0,0,,1,2,.500,1,7,8,1,0,0,0,0,5,6.1,+14,hayesja02
Dalton Knecht,13:36,5,7,.714,3,4,.750,0,0,,0,4,4,0,0,0,0,2,13,10.5,+3,knechda01
Christian Koloko,3:46,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,1.3,-2,kolokch01
Bronny James,3:46,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2,jamesbr02
Shake Milton,3:26,0,0,,0,0,,2,2,1.000,0,0,0,3,0,0,1,0,2,3.1,-5,miltosh01
Cam Reddish,3:26,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5,reddica01
