Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Austin Reaves,37:57,11,20,.550,1,4,.250,12,13,.923,1,8,9,10,1,0,4,2,35,31.3,-3,reaveau01
Anthony Davis,37:04,12,23,.522,2,4,.500,2,2,1.000,1,12,13,4,3,2,1,2,28,26.4,-6,davisan02
LeBron James,34:12,9,17,.529,3,6,.500,2,2,1.000,0,4,4,7,0,1,2,1,23,19.1,-11,jamesle01
Rui Hachimura,30:23,3,10,.300,0,3,.000,1,2,.500,3,2,5,0,1,0,1,1,7,3.1,-17,hachiru01
Max Christie,28:23,2,6,.333,1,5,.200,0,0,,0,1,1,2,1,0,0,3,5,3.1,-17,chrisma02
Dalton Knecht,22:09,2,8,.250,0,5,.000,0,0,,1,2,3,1,0,0,0,0,4,1.2,-3,knechda01
Dorian Finney-Smith,20:24,1,4,.250,0,2,.000,0,0,,2,0,2,2,0,0,0,2,2,1.6,+7,finnedo01
Cam Reddish,19:23,0,3,.000,0,2,.000,0,0,,0,4,4,0,1,0,0,0,0,0.1,-1,reddica01
Shake Milton,10:05,2,4,.500,2,4,.500,0,0,,0,2,2,0,0,0,0,1,6,4.2,-9,miltosh01
