Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Rui Hachimura,38:21,8,12,.667,3,6,.500,2,2,1.000,0,3,3,2,1,1,1,1,21,18.4,+13,hachiru01
LeBron James,36:49,14,26,.538,3,8,.375,2,4,.500,0,11,11,12,0,0,5,3,33,25.1,+12,jamesle01
Max Christie,32:45,6,10,.600,1,4,.250,2,3,.667,0,3,3,2,0,1,0,4,15,11.4,+21,chrisma02
Austin Reaves,29:29,7,12,.583,4,7,.571,9,9,1.000,0,5,5,6,3,0,3,3,27,25.9,+18,reaveau01
Jaxson Hayes,21:36,2,2,1.000,0,0,,0,0,,0,2,2,1,3,1,2,2,4,5.6,+5,hayesja02
Dorian Finney-Smith,31:51,5,6,.833,5,6,.833,0,0,,0,2,2,1,2,0,2,1,15,13.7,+14,finnedo01
Gabe Vincent,20:28,3,6,.500,3,6,.500,0,0,,0,1,1,1,0,1,0,3,9,6.5,+1,vincega01
Jarred Vanderbilt,13:39,0,3,.000,0,1,.000,0,0,,3,5,8,1,0,0,0,3,0,1.0,+4,vandeja01
Dalton Knecht,9:32,1,3,.333,0,2,.000,0,0,,0,0,0,0,0,0,1,2,2,-1.5,-8,knechda01
Bronny James,1:50,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.7,0,jamesbr02
Trey Jemison,1:50,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0.6,0,jemistr01
Christian Koloko,1:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,kolokch01
