Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Anthony Davis,37:45,10,15,.667,1,2,.500,10,13,.769,3,6,9,2,3,2,2,1,31,30.6,-22,davisan02
Rui Hachimura,37:20,5,13,.385,2,2,1.000,6,6,1.000,4,5,9,3,0,0,1,1,18,15.9,+17,hachiru01
LeBron James,33:46,12,22,.545,4,9,.444,4,4,1.000,0,14,14,10,0,1,5,3,32,27.1,+13,jamesle01
Austin Reaves,33:32,7,12,.583,2,4,.500,0,0,,4,3,7,6,0,0,6,3,16,11.1,-20,reaveau01
D'Angelo Russell,32:28,6,11,.545,3,6,.500,1,1,1.000,1,3,4,5,2,0,2,3,16,14.6,+17,russeda01
Dalton Knecht,20:10,4,7,.571,2,5,.400,0,0,,0,0,0,1,0,0,1,3,10,5.2,+16,knechda01
Max Christie,17:54,1,4,.250,0,2,.000,0,0,,0,0,0,4,2,0,2,2,2,1.6,-20,chrisma02
Jaxson Hayes,14:28,2,2,1.000,0,0,,0,0,,1,1,2,1,0,0,0,2,4,4.3,+24,hayesja02
Gabe Vincent,12:37,1,6,.167,0,4,.000,0,0,,0,0,0,0,1,0,0,1,2,-1.2,-5,vincega01
