Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
LeBron James,34:44,7,16,.438,2,7,.286,2,2,1.000,1,7,8,10,0,0,5,0,18,14.4,-30,jamesle01
Anthony Davis,34:42,10,19,.526,0,2,.000,5,7,.714,2,13,15,5,1,4,3,3,25,23.3,-24,davisan02
Austin Reaves,30:36,6,12,.500,2,6,.333,1,1,1.000,1,2,3,2,2,0,1,0,15,12.7,-16,reaveau01
Rui Hachimura,23:08,3,8,.375,1,4,.250,0,0,,0,1,1,1,0,0,0,1,7,3.2,-10,hachiru01
Cam Reddish,22:58,0,3,.000,0,1,.000,0,0,,0,2,2,1,2,0,0,3,0,0.0,+1,reddica01
D'Angelo Russell,28:48,5,13,.385,1,6,.167,5,8,.625,0,3,3,4,1,0,1,1,16,11.0,-23,russeda01
Dalton Knecht,19:25,2,7,.286,1,4,.250,2,3,.667,1,3,4,0,0,0,0,0,7,4.1,-20,knechda01
Jaxson Hayes,16:52,2,2,1.000,0,0,,3,4,.750,2,2,4,0,1,0,2,1,7,6.6,-8,hayesja02
Gabe Vincent,14:06,1,4,.250,1,4,.250,0,0,,0,2,2,1,0,1,0,0,3,2.6,+4,vincega01
Max Christie,13:36,1,1,1.000,0,0,,0,0,,0,0,0,1,0,1,0,2,2,2.3,-9,chrisma02
Christian Koloko,1:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,kolokch01
