Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
LeBron James,36:15,9,17,.529,5,8,.625,4,6,.667,0,6,6,10,1,0,0,1,27,27.3,+11,jamesle01
Anthony Davis,35:43,14,20,.700,0,0,,10,11,.909,1,10,11,2,3,2,3,0,38,35.7,+7,davisan02
Austin Reaves,34:18,4,13,.308,0,6,.000,12,14,.857,0,1,1,6,2,1,1,3,20,16.7,-3,reaveau01
Rui Hachimura,33:13,3,12,.250,2,5,.400,1,1,1.000,1,4,5,1,0,0,1,0,9,3.4,-6,hachiru01
D'Angelo Russell,32:28,7,13,.538,3,6,.500,2,2,1.000,0,3,3,6,0,0,2,4,19,14.2,+14,russeda01
Gabe Vincent,20:32,1,6,.167,0,4,.000,0,0,,1,2,3,2,0,0,0,4,2,-0.7,-4,vincega01
Dalton Knecht,19:07,2,5,.400,1,3,.333,0,0,,1,2,3,1,0,0,1,2,5,2.5,+4,knechda01
Jaxson Hayes,15:02,1,1,1.000,0,0,,2,2,1.000,3,3,6,0,0,2,0,3,4,6.9,+2,hayesja02
Max Christie,13:15,1,1,1.000,0,0,,5,5,1.000,2,3,5,1,0,0,2,0,7,7.7,+7,chrisma02
Bronny James,0:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,jamesbr02
