Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
LeBron James,40:00,7,16,.438,1,2,.500,5,5,1.000,1,7,8,11,2,0,1,1,20,22.7,-16,jamesle01
Austin Reaves,39:21,7,17,.412,3,10,.300,0,1,.000,1,3,4,4,2,0,4,4,17,8.3,-14,reaveau01
Anthony Davis,39:00,13,23,.565,0,4,.000,11,14,.786,1,8,9,4,0,0,3,2,37,27.0,-1,davisan02
Rui Hachimura,34:46,2,6,.333,2,2,1.000,2,2,1.000,0,4,4,1,0,1,0,2,8,6.4,-7,hachiru01
D'Angelo Russell,33:02,4,14,.286,2,5,.400,1,2,.500,1,2,3,8,1,0,3,2,11,6.5,-1,russeda01
Gabe Vincent,17:46,0,0,,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0.0,-5,vincega01
Cam Reddish,14:01,0,0,,0,0,,0,0,,0,5,5,0,1,0,0,2,0,1.7,+10,reddica01
Jaxson Hayes,9:11,2,5,.400,0,0,,1,3,.333,3,0,3,0,1,0,0,0,5,4.6,-12,hayesja02
Dalton Knecht,8:41,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,5,4.0,-8,knechda01
Max Christie,4:12,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,2,0,-2.9,-6,chrisma02
