Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Austin Reaves,38:22,6,12,.500,4,7,.571,8,12,.667,1,4,5,5,0,0,4,4,24,16.2,-19,reaveau01
LeBron James,35:29,8,19,.421,3,6,.500,9,10,.900,0,7,7,3,1,0,6,1,28,16.3,-23,jamesle01
Dorian Finney-Smith,31:43,4,8,.500,4,8,.500,0,0,,0,2,2,2,0,1,0,1,12,10.3,-13,finnedo01
Luka Dončić,31:00,7,15,.467,3,7,.429,6,7,.857,0,3,3,5,0,1,3,1,23,16.6,+6,doncilu01
Jaxson Hayes,26:41,3,4,.750,0,0,,1,2,.500,2,4,6,2,0,2,1,2,7,8.6,-1,hayesja02
Gabe Vincent,24:45,2,7,.286,1,6,.167,0,0,,0,0,0,2,1,0,0,2,5,2.5,-10,vincega01
Jarred Vanderbilt,19:59,3,5,.600,0,0,,2,4,.500,8,4,12,1,0,2,3,3,8,9.6,-17,vandeja01
Dalton Knecht,14:03,1,4,.250,1,2,.500,0,0,,0,3,3,0,0,0,0,0,3,1.5,-1,knechda01
Jordan Goodwin,12:37,2,5,.400,2,4,.500,0,0,,0,4,4,1,0,0,1,1,6,3.8,-5,goodwjo01
Trey Jemison,1:47,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,2.4,+1,jemistr01
Christian Koloko,1:47,0,0,,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,2,2.3,+1,kolokch01
Shake Milton,1:47,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+1,miltosh01
