Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Luka Dončić,38:06,9,23,.391,4,10,.400,10,11,.909,0,7,7,7,1,0,3,2,32,23.3,-9,doncilu01
LeBron James,37:40,9,18,.500,0,3,.000,6,7,.857,3,3,6,7,0,0,2,0,24,20.5,-17,jamesle01
Austin Reaves,35:39,7,16,.438,1,6,.167,3,4,.750,0,6,6,4,0,0,3,4,18,9.2,-7,reaveau01
Dorian Finney-Smith,35:28,5,7,.714,4,6,.667,0,0,,3,4,7,0,2,0,0,0,14,16.4,-6,finnedo01
Jaxson Hayes,18:28,2,4,.500,0,0,,0,0,,2,2,4,0,0,1,1,5,4,1.7,-10,hayesja02
Rui Hachimura,23:59,2,4,.500,0,2,.000,1,2,.500,1,2,3,0,1,0,1,1,5,3.5,-1,hachiru01
Gabe Vincent,20:07,2,6,.333,0,4,.000,0,0,,0,1,1,0,2,0,0,4,4,1.3,-2,vincega01
Jordan Goodwin,13:17,0,0,,0,0,,1,2,.500,1,0,1,0,0,0,0,0,1,1.3,0,goodwjo01
Jarred Vanderbilt,12:03,0,1,.000,0,0,,1,2,.500,1,3,4,1,1,0,0,3,1,2.0,-2,vandeja01
Dalton Knecht,4:38,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,2.3,-6,knechda01
Trey Jemison,0:35,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,jemistr01
