Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Rui Hachimura,35:47,7,12,.583,4,9,.444,3,4,.750,0,0,0,4,1,0,0,2,21,18.0,+14,hachiru01
LeBron James,33:02,11,19,.579,1,4,.250,2,3,.667,2,7,9,5,1,3,1,2,25,24.0,+9,jamesle01
Austin Reaves,32:58,7,13,.538,4,7,.571,5,6,.833,1,3,4,7,0,1,2,3,23,20.3,+13,reaveau01
Luka Dončić,30:38,10,22,.455,4,9,.444,8,8,1.000,1,9,10,7,4,1,1,0,32,32.6,+20,doncilu01
Jaxson Hayes,24:38,2,3,.667,0,0,,0,0,,1,3,4,1,1,1,1,3,4,4.5,+8,hayesja02
Dorian Finney-Smith,26:32,1,5,.200,1,4,.250,0,0,,1,3,4,0,2,0,1,2,3,1.7,+21,finnedo01
Gabe Vincent,19:27,1,4,.250,1,4,.250,0,0,,0,2,2,1,1,0,0,2,3,2.1,+17,vincega01
Jordan Goodwin,11:25,2,3,.667,1,2,.500,0,0,,1,0,1,0,2,1,0,0,5,7.1,+6,goodwjo01
Dalton Knecht,9:08,1,3,.333,0,2,.000,2,2,1.000,0,1,1,0,1,1,1,1,4,2.9,+3,knechda01
Jarred Vanderbilt,6:28,0,0,,0,0,,1,2,.500,1,0,1,2,2,0,0,5,1,2.7,+1,vandeja01
Trey Jemison,3:19,1,2,.500,0,0,,0,0,,1,0,1,0,0,1,0,0,2,2.4,+1,jemistr01
Alex Len,3:19,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+1,lenal01
Shake Milton,3:19,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,+1,miltosh01
