Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Max Christie,39:25,3,8,.375,3,6,.500,1,1,1.000,0,2,2,3,0,1,2,2,10,6.2,+14,chrisma02
Austin Reaves,37:43,5,14,.357,2,8,.250,5,7,.714,1,4,5,6,3,0,1,1,17,16.1,0,reaveau01
Anthony Davis,36:40,17,28,.607,0,2,.000,8,10,.800,8,15,23,2,0,2,4,4,42,35.7,+16,davisan02
LeBron James,36:25,9,17,.529,1,8,.125,3,5,.600,0,7,7,8,0,0,5,0,22,15.6,-1,jamesle01
Dorian Finney-Smith,26:33,3,4,.750,0,1,.000,0,0,,1,4,5,0,1,0,1,2,6,5.5,+13,finnedo01
Dalton Knecht,21:15,1,3,.333,0,1,.000,0,0,,0,2,2,0,1,0,0,4,2,0.3,-5,knechda01
Jaxson Hayes,16:42,4,5,.800,0,1,.000,1,1,1.000,0,0,0,1,2,2,2,1,9,8.8,-9,hayesja02
Jarred Vanderbilt,13:11,2,5,.400,0,1,.000,0,0,,1,1,2,1,2,0,1,1,4,3.6,+3,vandeja01
Shake Milton,12:05,0,2,.000,0,0,,0,0,,1,1,2,1,0,0,0,3,0,-0.9,-6,miltosh01
