Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
LeBron James,35:25,15,24,.625,6,11,.545,3,4,.750,0,7,7,6,1,0,5,2,39,29.3,-21,jamesle01
Austin Reaves,34:56,7,17,.412,2,9,.222,3,4,.750,0,3,3,5,3,0,1,1,19,15.5,-9,reaveau01
Jaxson Hayes,34:40,3,6,.500,0,0,,2,2,1.000,2,8,10,1,0,0,1,5,8,6.5,-13,hayesja02
Dalton Knecht,26:52,1,7,.143,1,7,.143,0,0,,3,1,4,2,1,0,1,2,3,1.5,-14,knechda01
D'Angelo Russell,21:33,4,12,.333,2,9,.222,2,2,1.000,0,1,1,3,2,0,1,2,12,7.8,-9,russeda01
Cam Reddish,25:56,5,7,.714,2,2,1.000,3,4,.750,2,4,6,2,2,0,0,3,15,16.5,0,reddica01
Gabe Vincent,23:21,2,8,.250,1,6,.167,1,2,.500,0,1,1,1,0,0,2,1,6,-0.6,-15,vincega01
Max Christie,19:22,3,8,.375,1,2,.500,1,1,1.000,1,2,3,3,1,0,0,0,8,8.0,-3,chrisma02
Christian Koloko,13:20,1,2,.500,0,0,,0,0,,1,1,2,0,0,1,0,1,2,2.3,-4,kolokch01
Bronny James,4:35,0,2,.000,0,2,.000,2,2,1.000,0,0,0,0,0,0,0,1,2,0.2,+3,jamesbr02
