Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Rui Hachimura,38:26,6,12,.500,2,6,.333,1,2,.500,1,5,6,0,0,2,1,1,15,10.8,+19,hachiru01
Austin Reaves,37:42,5,12,.417,3,8,.375,7,8,.875,0,3,3,5,0,0,1,2,20,15.8,+16,reaveau01
LeBron James,37:04,11,17,.647,2,4,.500,3,4,.750,3,9,12,3,1,0,6,2,27,20.2,-5,jamesle01
Luka Dončić,35:18,6,17,.353,1,7,.143,6,8,.750,2,13,15,12,3,2,2,2,19,24.0,+8,doncilu01
Jaxson Hayes,16:51,4,5,.800,0,0,,0,0,,1,7,8,0,0,2,1,3,8,8.1,+8,hayesja02
Dorian Finney-Smith,28:24,1,6,.167,0,3,.000,0,0,,4,4,8,2,2,1,1,0,2,5.3,-1,finnedo01
Gabe Vincent,16:10,1,6,.167,0,4,.000,0,0,,0,0,0,0,1,0,1,1,2,-2.2,-2,vincega01
Jarred Vanderbilt,14:08,3,5,.600,2,3,.667,0,0,,1,2,3,2,0,0,0,2,8,7.6,-1,vandeja01
Dalton Knecht,10:00,2,5,.400,1,4,.250,0,0,,0,0,0,0,0,0,0,0,5,2.3,0,knechda01
Jordan Goodwin,5:57,0,2,.000,0,1,.000,1,2,.500,1,1,2,0,0,1,1,0,1,-0.1,-2,goodwjo01
