Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Austin Reaves,36:26,5,15,.333,2,9,.222,3,3,1.000,2,6,8,11,2,0,3,3,15,15.2,+10,reaveau01
LeBron James,36:12,15,25,.600,7,10,.700,1,2,.500,1,2,3,8,0,0,4,1,38,28.6,+4,jamesle01
Max Christie,31:35,9,16,.563,5,9,.556,5,5,1.000,0,3,3,2,2,1,0,0,28,25.4,+8,chrisma02
Rui Hachimura,23:24,2,6,.333,0,4,.000,2,2,1.000,1,3,4,3,0,0,2,1,6,3.9,-3,hachiru01
Jaxson Hayes,17:51,2,4,.500,0,0,,0,0,,2,4,6,0,1,1,1,3,4,4.1,+5,hayesja02
Dorian Finney-Smith,24:00,1,6,.167,1,4,.250,0,0,,2,2,4,2,1,0,1,3,3,1.4,+11,finnedo01
Cam Reddish,18:48,1,3,.333,0,1,.000,0,0,,0,3,3,1,1,1,0,0,2,3.6,-2,reddica01
Christian Koloko,18:30,4,8,.500,0,0,,0,0,,6,2,8,3,1,0,0,2,8,11.1,+8,kolokch01
Dalton Knecht,16:55,2,6,.333,0,3,.000,2,2,1.000,1,0,1,0,0,0,1,4,6,0.7,-3,knechda01
Shake Milton,16:19,2,5,.400,0,3,.000,0,0,,0,3,3,0,0,0,0,0,4,2.2,+2,miltosh01
