Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Anthony Davis,35:24,6,19,.316,0,2,.000,2,3,.667,3,7,10,3,3,2,1,2,14,11.6,-26,davisan02
LeBron James,34:41,7,17,.412,1,4,.250,3,3,1.000,0,6,6,7,3,0,6,3,18,11.4,-25,jamesle01
Austin Reaves,31:51,7,13,.538,3,7,.429,2,2,1.000,1,2,3,6,1,0,3,1,19,15.8,-22,reaveau01
Rui Hachimura,22:27,4,7,.571,2,4,.500,0,0,,1,1,2,3,1,0,0,1,10,10.4,-13,hachiru01
Cam Reddish,19:53,2,3,.667,2,3,.667,0,0,,0,0,0,0,2,0,1,2,6,4.9,-23,reddica01
Dalton Knecht,28:03,3,7,.429,1,4,.250,2,2,1.000,1,4,5,1,0,0,0,1,9,7.5,-17,knechda01
D'Angelo Russell,18:15,2,9,.222,1,6,.167,2,2,1.000,0,2,2,5,0,0,2,0,7,3.6,0,russeda01
Max Christie,16:34,5,8,.625,2,3,.667,0,0,,0,0,0,1,0,0,1,1,12,7.7,-12,chrisma02
Gabe Vincent,13:46,3,5,.600,1,3,.333,0,0,,0,0,0,1,0,0,1,3,7,3.2,+3,vincega01
Christian Koloko,10:20,0,0,,0,0,,0,0,,0,3,3,0,1,1,0,1,0,2.2,+8,kolokch01
Armel Traoré,4:23,0,0,,0,0,,0,2,.000,0,1,1,0,0,0,0,1,0,-0.9,+1,armeltr01
Maxwell Lewis,4:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1,lewisma05
