Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Anthony Davis,31:20,9,17,.529,0,1,.000,4,8,.500,1,12,13,2,2,0,4,1,22,15.4,-18,davisan02
LeBron James,28:58,9,13,.692,1,3,.333,7,7,1.000,1,5,6,3,0,0,6,2,26,18.0,-17,jamesle01
Rui Hachimura,28:17,4,6,.667,0,1,.000,0,0,,0,5,5,2,1,0,2,1,8,6.9,-11,hachiru01
Austin Reaves,27:50,2,6,.333,1,4,.250,2,2,1.000,0,2,2,3,0,0,4,0,7,2.3,-14,reaveau01
D'Angelo Russell,24:08,2,7,.286,0,3,.000,6,6,1.000,1,2,3,5,0,0,0,0,10,10.7,-8,russeda01
Max Christie,27:16,1,6,.167,1,5,.200,3,4,.750,0,1,1,1,1,0,0,0,6,3.8,-19,chrisma02
Dalton Knecht,22:29,6,12,.500,2,7,.286,4,4,1.000,0,3,3,1,0,0,1,1,18,12.2,-11,knechda01
Jaxson Hayes,19:04,2,2,1.000,0,0,,2,2,1.000,2,1,3,2,1,0,1,2,6,7.7,-11,hayesja02
Gabe Vincent,16:09,2,5,.400,1,3,.333,0,0,,0,0,0,0,0,0,1,0,5,1.3,-10,vincega01
Cam Reddish,9:13,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-1.4,+1,reddica01
Bronny James,5:16,1,2,.500,0,1,.000,0,0,,0,0,0,2,1,0,0,0,2,3.4,-2,jamesbr02
