Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Austin Reaves,40:50,3,15,.200,2,9,.222,2,2,1.000,1,1,2,7,1,0,0,1,10,7.2,+9,reaveau01
Dalton Knecht,37:15,10,17,.588,5,10,.500,2,2,1.000,2,5,7,2,2,0,0,1,27,25.0,+11,knechda01
Anthony Davis,37:14,12,20,.600,2,4,.500,5,7,.714,3,11,14,1,2,1,2,3,31,26.6,+2,davisan02
LeBron James,37:02,8,19,.421,2,7,.286,3,5,.600,4,3,7,5,1,0,6,1,21,11.9,+1,jamesle01
Max Christie,29:55,1,6,.167,0,3,.000,0,0,,2,1,3,1,2,1,0,2,2,2.5,+1,chrisma02
Gabe Vincent,21:38,0,2,.000,0,2,.000,0,0,,1,1,2,2,0,0,0,1,0,0.6,-9,vincega01
D'Angelo Russell,20:52,2,5,.400,1,3,.333,2,2,1.000,0,1,1,5,1,0,3,3,7,4.9,+9,russeda01
Christian Koloko,10:46,3,4,.750,0,1,.000,0,0,,4,2,6,1,1,1,0,1,6,9.8,+3,kolokch01
Armel Traoré,4:28,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-0.8,-2,armeltr01
