Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Austin Reaves,33:00,9,15,.600,3,6,.500,2,2,1.000,0,7,7,6,2,0,5,2,23,18.6,+17,reaveau01
Rui Hachimura,31:59,6,8,.750,1,2,.500,3,4,.750,0,5,5,1,0,0,0,2,16,13.8,+15,hachiru01
Luka Dončić,31:07,13,19,.684,5,9,.556,8,14,.571,0,8,8,7,1,0,4,1,39,32.4,+15,doncilu01
LeBron James,22:07,6,11,.545,1,4,.250,1,1,1.000,0,4,4,8,1,0,1,1,14,15.1,+5,jamesle01
Jaxson Hayes,11:53,3,3,1.000,0,0,,1,4,.250,1,0,1,0,0,0,0,2,7,4.8,+1,hayesja02
Dorian Finney-Smith,30:09,6,9,.667,6,8,.750,0,0,,0,0,0,0,3,0,0,1,18,16.7,+16,finnedo01
Jordan Goodwin,22:43,1,4,.250,1,3,.333,0,0,,0,6,6,3,0,0,1,1,3,3.1,+21,goodwjo01
Gabe Vincent,21:21,0,3,.000,0,3,.000,0,0,,0,1,1,1,1,0,0,1,0,-0.5,+25,vincega01
Jarred Vanderbilt,19:01,4,5,.800,0,0,,0,0,,1,3,4,0,2,1,1,3,8,8.2,+12,vandeja01
Dalton Knecht,4:23,2,3,.667,1,1,1.000,0,0,,1,0,1,0,0,0,0,1,5,4.0,+6,knechda01
Bronny James,4:23,1,4,.250,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,3,1.6,+6,jamesbr02
Trey Jemison,3:57,1,1,1.000,0,0,,0,0,,1,2,3,1,0,0,0,0,2,3.7,+8,jemistr01
Shake Milton,3:57,1,2,.500,0,0,,0,0,,0,1,1,0,1,0,0,0,2,2.3,+8,miltosh01
