Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Luka Dončić,35:50,10,21,.476,4,10,.400,11,11,1.000,0,6,6,6,0,0,2,2,35,27.5,+12,doncilu01
Austin Reaves,35:43,8,13,.615,6,9,.667,8,9,.889,1,2,3,7,1,0,1,1,30,29.5,+17,reaveau01
LeBron James,32:39,9,17,.529,2,7,.286,7,8,.875,0,0,0,8,2,0,1,1,27,24.5,+7,jamesle01
Dorian Finney-Smith,31:40,2,4,.500,1,3,.333,0,0,,0,2,2,2,0,0,1,2,5,3.2,+3,finnedo01
Jaxson Hayes,24:12,3,4,.750,0,0,,0,0,,1,11,12,0,1,2,1,4,6,8.2,+8,hayesja02
Dalton Knecht,20:18,5,10,.500,2,6,.333,0,0,,1,0,1,0,0,0,1,0,12,6.7,+12,knechda01
Gabe Vincent,18:30,2,4,.500,1,3,.333,0,0,,2,1,3,1,1,0,1,3,5,4.2,+6,vincega01
Jordan Goodwin,17:47,1,4,.250,0,3,.000,0,0,,2,3,5,2,1,0,2,4,2,0.7,+7,goodwjo01
Jarred Vanderbilt,16:30,1,2,.500,0,0,,0,0,,1,2,3,0,0,0,1,0,2,1.3,+11,vandeja01
Trey Jemison,4:58,0,0,,0,0,,0,0,,0,1,1,0,1,0,1,1,0,-0.1,-2,jemistr01
Shake Milton,1:53,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1,miltosh01
