Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
LeBron James,43:22,14,25,.560,6,11,.545,5,6,.833,0,10,10,11,2,3,4,3,39,36.3,+3,jamesle01
Anthony Davis,41:31,15,27,.556,0,3,.000,8,8,1.000,3,7,10,8,1,2,6,3,38,30.1,+6,davisan02
Rui Hachimura,40:36,5,6,.833,2,2,1.000,0,0,,2,7,9,1,2,2,0,2,12,16.6,+5,hachiru01
Gabe Vincent,34:22,5,11,.455,2,4,.500,0,0,,0,1,1,5,2,1,0,5,12,10.8,+4,vincega01
Dalton Knecht,28:23,6,11,.545,2,6,.333,0,0,,0,3,3,2,0,0,0,3,14,9.8,-2,knechda01
Max Christie,31:13,3,6,.500,2,3,.667,1,2,.500,0,2,2,2,3,1,1,6,9,7.9,-7,chrisma02
Cam Reddish,20:53,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,1,0,1,0,0.6,-8,reddica01
D'Angelo Russell,20:39,3,9,.333,2,4,.500,0,0,,1,2,3,3,0,0,2,1,8,3.9,-4,russeda01
Armel Traoré,4:01,0,3,.000,0,1,.000,0,0,,0,2,2,1,0,0,0,0,0,-0.8,-7,armeltr01
