Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
LeBron James,37:49,6,12,.500,1,4,.250,2,4,.500,1,15,16,12,1,0,7,0,15,15.8,+3,jamesle01
Anthony Davis,36:10,14,26,.538,2,4,.500,10,12,.833,5,7,12,2,1,2,2,1,40,33.6,+12,davisan02
Austin Reaves,32:04,6,12,.500,5,9,.556,2,2,1.000,1,2,3,6,0,0,0,3,19,17.3,-8,reaveau01
Dalton Knecht,26:01,6,11,.545,2,4,.500,0,0,,1,2,3,0,0,0,0,0,14,10.0,-9,knechda01
Cam Reddish,18:58,0,3,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,3,0,-3.3,-16,reddica01
D'Angelo Russell,29:53,5,11,.455,2,3,.667,1,1,1.000,0,2,2,6,3,0,1,1,13,13.7,+13,russeda01
Max Christie,29:39,4,7,.571,1,3,.333,2,2,1.000,1,2,3,1,2,1,0,0,11,12.4,+23,chrisma02
Gabe Vincent,19:34,2,4,.500,1,2,.500,1,2,.500,1,1,2,0,3,0,0,1,6,7.2,+13,vincega01
Christian Koloko,9:51,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,2,2,0.2,-6,kolokch01
