Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Austin Reaves,30:05,6,14,.429,4,7,.571,1,2,.500,0,6,6,5,0,0,2,1,17,12.1,+24,reaveau01
Max Christie,29:47,4,7,.571,3,5,.600,2,2,1.000,0,4,4,3,1,0,1,4,13,11.4,+21,chrisma02
LeBron James,26:34,9,19,.474,1,4,.250,5,5,1.000,0,3,3,11,0,0,0,1,24,22.5,+29,jamesle01
Rui Hachimura,25:32,9,12,.750,4,5,.800,0,0,,0,4,4,0,1,1,1,1,22,18.7,+21,hachiru01
Jaxson Hayes,25:08,4,4,1.000,0,0,,2,2,1.000,2,8,10,2,0,3,3,4,10,11.5,+26,hayesja02
Shake Milton,27:55,7,8,.875,1,2,.500,6,6,1.000,1,3,4,4,2,0,0,2,21,23.8,+25,miltosh01
Dalton Knecht,22:11,3,9,.333,2,7,.286,2,2,1.000,0,1,1,0,0,0,1,0,10,4.2,+13,knechda01
Trey Jemison,17:39,2,6,.333,0,0,,0,0,,1,4,5,1,0,2,2,6,4,0.2,+12,jemistr01
Jarred Vanderbilt,16:10,2,3,.667,0,0,,0,0,,4,3,7,2,4,0,1,2,4,10.0,+18,vandeja01
Bronny James,12:00,1,6,.167,0,2,.000,3,3,1.000,0,2,2,2,1,0,0,2,5,3.4,+3,jamesbr02
Christian Koloko,6:59,2,2,1.000,0,0,,0,0,,1,1,2,1,0,0,0,1,4,4.7,-2,kolokch01
